------ Sensor Log Start -------------
00:08:20:00 2023 1635 2118 1701
00:08:10:00 2013 1636 2114 1705
00:08:00:00 2029 1631 2121 1707
00:07:50:00 2031 1634 2119 1705
00:07:40:00 2021 1640 2120 1700
00:07:30:00 2023 1639 2118 1703
00:07:20:00 2032 1636 2113 1698
00:07:10:00 2017 1637 2119 1696
00:07:00:00 2027 1640 2125 1699
00:06:50:00 2032 1632 2116 1695
00:06:40:00 2025 1640 2122 1702
00:06:30:00 2025 1636 2123 1697
00:06:20:00 2026 1640 2121 1692
00:06:10:00 2022 1645 2132 1692
00:06:00:00 2021 1645 2124 1693
00:05:50:00 2023 1639 2123 1696
00:05:40:00 2016 1645 2131 1694
00:05:30:00 2044 1641 2127 1691
00:05:20:00 2026 1639 2119 1696
00:05:10:00 2027 1648 2127 1691
00:05:00:00 2026 1648 2127 1687
00:04:50:00 2020 1645 2124 1686
00:04:40:00 2026 1649 2126 1688
00:04:30:00 2036 1647 2129 1687
00:04:20:00 2026 1649 2125 1688
00:04:10:00 2031 1650 2137 1688
00:04:00:00 2040 1651 2132 1685
00:03:50:00 2033 1655 2135 1684
00:03:40:00 2039 1653 2135 1681
00:03:30:00 2037 1657 2134 1680
00:03:20:00 2043 1659 2138 1683
00:03:10:00 2048 1656 2141 1681
00:03:00:00 2046 1665 2142 1685
00:02:50:00 2052 1660 2133 1683
00:02:40:00 2058 1665 2140 1674
00:02:30:00 2054 1666 2139 1675
00:02:20:00 2064 1666 2134 1681
00:02:10:00 2049 1658 2147 1682
00:02:00:00 2060 1667 2145 1678
00:01:50:00 2059 1674 2153 1679
00:01:40:00 2060 1674 2142 1678
00:01:30:00 2052 1673 2145 1678
00:01:20:00 2046 1676 2147 1672
00:01:10:00 2037 1677 2162 1673
00:01:00:00 2045 1679 2154 1671
00:00:50:00 2050 1677 2152 1670
00:00:40:00 2147 1686 2151 1673
00:00:30:00 2152 1688 2150 1662
00:00:20:00 2152 1690 2147 1668
00:00:10:00 2165 1691 2156 1664
-------Sensor Log End ---------------
--- TxtLog::disp() Start ---
00:12:20:00 watering begins pump 1
00:12:20:15 watering ends
00:12:40:00 watering begins pump 0
00:12:40:15 watering ends
00:12:50:00 watering begins pump 0
00:12:50:15 watering ends
00:13:00:00 watering begins pump 1
00:13:00:15 watering ends
00:13:10:00 watering begins pump 1
00:13:10:15 watering ends
00:13:20:00 watering begins pump 1
00:13:20:15 watering ends
00:13:30:00 watering begins pump 1
00:13:30:15 watering ends
00:13:40:00 watering begins pump 2
00:13:40:15 watering ends
00:13:50:00 watering begins pump 2
00:13:50:15 watering ends
00:14:00:00 watering begins pump 2
00:14:00:15 watering ends
00:14:10:00 watering begins pump 2
00:14:10:15 watering ends
00:14:20:00 watering begins pump 2
00:14:20:15 watering ends
00:14:30:00 watering begins pump 3
00:14:30:15 watering ends
00:14:40:00 watering begins pump 2
00:14:40:15 watering ends
00:14:50:00 watering begins pump 2
00:14:50:15 watering ends
00:15:00:00 watering begins pump 2
00:15:00:15 watering ends
00:15:10:00 watering begins pump 2
00:15:10:15 watering ends
00:15:20:00 watering begins pump 2
00:15:20:15 watering ends
00:15:30:00 watering begins pump 2
00:15:30:15 watering ends
00:15:40:00 watering begins pump 2
00:15:40:15 watering ends
00:15:50:00 watering begins pump 2
00:15:50:15 watering ends
00:16:00:00 watering begins pump 2
00:16:00:15 watering ends
00:16:10:00 watering begins pump 2
00:16:10:15 watering ends
00:16:20:00 watering begins pump 2
00:16:20:15 watering ends
00:16:30:00 watering begins pump 2
00:16:30:15 watering ends
00:16:40:00 watering begins pump 2
00:16:40:15 watering ends
00:16:50:00 watering begins pump 2
00:16:50:15 watering ends
00:17:00:00 watering begins pump 2
00:17:00:15 watering ends
00:17:10:00 watering begins pump 2
00:17:10:15 watering ends
00:17:20:00 watering begins pump 2
00:17:20:15 watering ends
00:17:30:00 watering begins pump 2
00:17:30:15 watering ends
00:17:40:00 watering begins pump 2
00:17:40:15 watering ends
00:17:50:00 watering begins pump 2
00:17:50:15 watering ends
00:18:00:00 watering begins pump 2
00:18:00:15 watering ends
00:18:10:00 watering begins pump 2
00:18:10:15 watering ends
00:18:20:00 watering begins pump 2
00:18:20:15 watering ends
00:18:30:00 watering begins pump 2
00:18:30:15 watering ends
00:18:40:00 watering begins pump 0
00:18:40:15 watering ends
00:18:50:00 watering begins pump 2
00:18:50:15 watering ends
00:19:00:00 watering begins pump 2
00:19:00:15 watering ends
00:19:10:00 watering begins pump 2
00:19:10:15 watering ends
00:19:20:00 watering begins pump 0
00:19:20:15 watering ends
00:19:30:00 watering begins pump 0
00:19:30:15 watering ends
00:19:40:00 watering begins pump 2
00:19:40:15 watering ends
00:19:50:00 watering begins pump 0
00:19:50:15 watering ends
00:20:00:00 watering begins pump 0
00:20:00:15 watering ends
00:20:10:00 watering begins pump 0
00:20:10:15 watering ends
00:20:20:00 watering begins pump 0
00:20:20:15 watering ends
00:20:30:00 watering begins pump 0
00:20:30:15 watering ends
00:20:40:00 watering begins pump 0
00:20:40:15 watering ends
00:20:50:00 watering begins pump 0
00:20:50:15 watering ends
00:21:00:00 watering begins pump 0
00:21:00:15 watering ends
01:00:10:00 watering begins pump 1
01:00:10:15 watering ends
--- TxtLog::disp() End ---
